xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-0.54,6.88,-6.5,4.46,-20.87,26.43,fall
-1.49,6.49,-5.87,5.86,-27.59,18.86,fall
0.26,6.41,-5.85,3.3,-38.09,24.66,fall
1.34,6.09,-6.3,7.69,-35.34,29.6,fall
1.06,5.62,-6.54,16.78,-30.88,28.81,fall
0.45,5.67,-6.59,26.86,-28.69,21.3,fall
-0.21,7.41,-6.16,27.65,-32.78,12.63,fall
-2.46,12.76,-11.14,15.93,-37.29,22.95,fall
-1.03,7.47,-6.57,10.13,-48.1,45.04,fall
2.12,6.55,-4.08,7.69,-35.58,53.1,fall
-4.49,7.39,-6.13,6.47,-30.03,48.4,fall
-5.58,7.97,-8.96,11.6,-51.33,55.73,fall
-2.39,6.91,-8.11,9.16,-90.76,70.31,fall
-0.74,6.3,-7.35,10.01,-91.31,76.66,fall
-0.72,5.94,-7.36,7.81,-94.67,90.94,fall
-0.45,6.12,-7.12,5.98,-92.96,98.57,fall
1,6.51,-7.02,2.32,-90.64,100.4,fall
0.56,6.42,-6.77,0.12,-80.38,91.86,fall
0.37,5.79,-6.88,1.4,-72.14,82.03,fall
0.36,5.56,-7.06,7.69,-64.7,76.17,fall
-0.04,4.96,-6.57,12.88,-66.16,83.5,fall
-1.9,8.62,-5.93,8.79,-70.68,101.62,fall
-0.32,6.77,-6.84,-1.16,-79.65,111.76,fall
0.46,8.84,-8.33,2.38,-86.24,81.67,fall
1.43,8.21,-8.87,5.98,-76.05,74.34,fall
1.71,7.16,-7.06,-0.18,-66.35,76.72,fall
0.37,5.26,-5.22,-7.2,-61.65,74.65,fall
1.2,5.78,-5.99,-7.87,-63.96,69.15,fall
2.41,6.25,-6.74,-3.97,-57.68,61.04,fall
1.24,6.09,-6.91,2.01,-54.2,45.41,fall
-0.33,5.88,-6.88,6.47,-61.58,42.48,fall
1.01,5.82,-6.88,10.62,-75.2,47.97,fall
3.69,6.04,-6.92,11.72,-65.61,53.1,fall
2.59,5.66,-7.73,14.53,-50.23,49.5,fall
-0.8,13.79,-9.46,8.18,-55.3,42.79,fall
-1.83,7.24,-7.57,3.54,-58.59,59.69,fall
2.58,7.65,-4.95,-0.24,-68.54,56.09,fall
-0.43,4.91,-3.06,-4.21,-47.3,32.29,fall
-1.39,7.91,-5.81,-3.66,-49.68,31.56,fall
-3.53,8.01,-8.38,1.22,-57.01,42.3,fall
1.33,7.01,-7.22,5.25,-75.44,48.95,fall
0.56,6.29,-6.36,5.68,-57.43,43.21,fall
-0.44,6.48,-7.33,6.1,-55.6,36.62,fall
-2.35,6.9,-7.67,8.61,-58.47,32.29,fall
-0.51,6.57,-7.74,7.93,-69.34,38.45,fall
0.11,6.3,-7.67,6.29,-69.03,43.95,fall
0.69,5.43,-6.9,5.68,-62.81,41.44,fall
1.09,4.2,-5.99,10.13,-54.75,39.12,fall
0.1,4.35,-5.48,22.09,-44.86,42.3,fall
-1.97,13.48,-6.2,15.5,-41.63,57.5,fall
-2.48,6.26,-6.99,0.06,-49.8,60,fall
-4.08,6.97,-7.43,7.81,-77.94,53.47,fall
-0.47,7.03,-6.16,11.29,-78.37,51.09,fall
3.48,7,-5.66,7.87,-61.22,79.22,fall
0.06,6.22,-5.08,4.52,-44.37,85.02,fall
-0.22,6.15,-5.74,4.39,-42.72,77.09,fall
1.03,6.46,-6.49,4.46,-33.45,61.04,fall
0.06,6.84,-7.32,5.92,-25.02,38.57,fall
0.09,6.57,-7.3,6.47,-27.34,25.88,fall
0.68,5.78,-7.27,8.42,-24.96,18.62,fall
0.43,5.71,-7.03,16.42,-21.12,7.2,fall
-0.42,8.34,-5.67,16.48,-23.01,-6.35,fall
-3.27,9.14,-9.48,7.2,-23.8,7.14,fall
1.76,7.43,-4.59,3.11,-40.83,22.64,fall
1.03,7.23,-5.98,5.37,-8.12,27.77,fall
-2.71,7.3,-7.39,5.19,-12.45,25.51,fall
-2.97,6.91,-6.93,7.87,-32.29,15.99,fall
-1,7.23,-6.37,4.7,-45.96,18.31,fall
-0.91,6.02,-6.03,1.22,-47,22.03,fall
-0.31,6.02,-6.91,1.89,-42.54,27.59,fall
0.61,5.56,-6.91,3.54,-33.63,26.18,fall
-0.03,5.15,-6.61,7.2,-19.04,18.68,fall
-0.17,5.52,-6.37,12.57,-10.44,16.05,fall
-0.07,6.11,-7.03,16.24,2.32,15.63,fall
-1.62,10.18,-6.23,13.61,10.99,27.65,fall
-0.04,12.2,-9.66,7.63,22.4,22.34,fall
-0.69,8.34,-4.97,-2.01,11.66,-21.61,fall
-2.45,7.31,-5.8,3.78,13,-28.14,fall
3.49,8.17,-6.66,0.37,26.98,-13.85,fall
1.08,7.17,-5.94,-7.63,53.41,-18.49,fall
0.62,6.98,-6.53,-10.93,63.78,-31.74,fall
-0.16,5.69,-6.06,-9.77,71.59,-54.63,fall
1.22,5.84,-7.24,-7.51,82.46,-76.11,fall
0.48,5.67,-7.67,-2.38,94.42,-87.04,fall
0.26,4.89,-7.59,-1.71,104.19,-99.43,fall
-0.33,5.7,-7.38,-2.38,114.87,-120.85,fall
-0.24,7.3,-7.66,-15.63,119.75,-130.98,fall
-0.61,7.81,-6.46,-31.56,122.68,-123.41,fall
-2.13,5.51,-7.92,-44.07,128.6,-124.94,fall
0.73,5.13,-7,-30.09,124.45,-113.16,fall
-3.74,6.72,-9.94,-16.05,133.97,-86.49,fall
-1.03,5.78,-8.98,-9.09,109.8,-88.99,fall
0.33,6.22,-9.06,-9.09,124.02,-106.75,fall
