xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
0.24,-12.28,1.1,-23.76,-23.07,68.92,sit
1.96,-11.76,-2.3,-4.69,-0.85,-34.93,sit
1.53,-9.9,-1.18,-9.12,13.76,0.7,sit
2.1,-10.05,-1.46,-5.96,-7.59,2.54,sit
2.15,-9.88,-1.08,-5.41,6.98,-12.81,sit
2.6,-9.52,-0.48,-5.54,2.6,4.28,sit
2.77,-10.36,-0.89,-8.9,26.54,4.71,sit
2.17,-9.99,-1.47,-5.15,7.08,0.33,sit
1.64,-9.88,-1.22,-6.69,9.73,0.24,sit
2.01,-9.2,-0.65,3.74,-4.03,-8.58,sit
1.13,-6.93,-0.92,10.17,-4.27,-26.55,sit
1.04,-6.3,-1.89,8.16,-6.92,-41.37,sit
2.16,-8.24,-0.94,12.79,-38.74,-18.22,sit
5.19,-9.46,-0.99,23.6,-32.91,-20.72,sit
7.54,-9.18,-0.39,16.79,30.47,-31.81,sit
6.51,-11.07,2.05,20.94,3.75,-92.74,sit
8.24,-8.2,-0.08,2.11,-44.58,-85.27,sit
7.73,-7.52,1.14,-6.57,14.82,-103.15,sit
10.03,-6.17,0.32,-29.34,43.68,-29.67,sit
6.38,-5.38,0.93,-10.53,66.02,-49.82,sit
7.65,-4.33,2.3,20.24,4.47,-44.94,sit
8.93,-1.56,2.17,18,52.8,-23.23,sit
7.85,-2.89,2.84,15.49,52.92,-4.78,sit
9.09,-2.89,3.7,8.66,6.03,-8.71,sit
8.82,-2.43,3.69,-1.86,12.95,2.27,sit
7.86,-2.8,3.43,-8.02,15.5,4.08,sit
7.91,-2.76,4.09,-14.35,9.9,16.9,sit
7.14,-3.4,4.12,-17.8,6.95,26.32,sit
7.9,-3.98,3.72,-24.27,16.95,8.46,sit
7.6,-4.6,3.95,-14.29,10.66,7.92,sit
6.63,-4.74,3.91,-2.29,-4.88,6.13,sit
7.01,-4.24,3.87,-2.82,4.02,-0.58,sit
6.82,-4.6,4.19,1.22,-6.4,-0.04,sit
6.99,-4.3,4,-7.29,4.22,0.61,sit
7.06,-4.6,4,-5.11,0.85,0.6,sit
6.86,-4.47,4.03,-4.76,0.15,0.6,sit
6.82,-4.48,3.92,-4.28,-0.27,-0.56,sit
6.74,-4.55,4.03,-2.95,-1.11,-0.5,sit
6.85,-4.49,4.04,-2.79,-0.65,-0.34,sit
6.8,-4.55,4.08,-1.6,-2.05,-0.69,sit
6.83,-4.54,3.99,-1.42,-1.24,-0.52,sit
6.79,-4.47,3.98,-1.23,-2.54,-0.54,sit
6.9,-4.46,4.06,-2.89,-0.41,-0.14,sit
6.93,-4.48,4.08,-3.49,-0.82,0.1,sit
6.79,-4.59,4.05,-2.89,-2.12,-0.37,sit
6.98,-4.44,4.03,-2.98,-1.68,-0.14,sit
6.82,-4.57,4.07,-3.5,-0.66,-0.07,sit
6.93,-4.56,4.11,-3.08,-0.27,-0.31,sit
6.95,-4.5,3.98,-1.64,-2.08,-0.37,sit
6.86,-4.53,4.06,-1.1,-2.99,-0.57,sit
6.98,-4.45,4.05,-1.01,-2.7,-0.6,sit
6.81,-4.5,4.06,-3.38,0.42,-0.85,sit
6.86,-4.46,4.07,-2.32,-2.52,-0.72,sit
6.89,-4.54,4.04,-3.34,-0.08,0.02,sit
7.05,-4.32,4.04,-2.69,-2.1,-0.39,sit
6.95,-4.41,4.18,-3.5,-1.09,0.03,sit
6.77,-4.52,4.05,-2.95,-1.63,0.27,sit
6.77,-4.52,4.2,-3.78,0.19,0.49,sit
6.74,-4.54,4.08,-2.4,-2.15,0.05,sit
6.85,-4.56,3.99,-2.22,-0.54,0.5,sit
6.82,-4.51,4.09,-1.5,-2.88,0.37,sit
6.82,-4.47,4.09,-2.66,-1.55,-0.21,sit
6.81,-4.5,4.11,-3.22,0.77,0.19,sit
6.87,-4.43,4.12,-2.15,-1.34,0.12,sit
7,-4.57,3.97,-1.56,-3.11,-0.89,sit
6.82,-4.53,4.07,-2.25,-0.69,-0.08,sit
6.92,-4.46,4.16,-2.97,-0.46,-0.19,sit
6.88,-4.46,4.09,-2.89,-1.21,0.08,sit
6.91,-4.48,4,-2.6,-1.55,0.05,sit
6.92,-4.42,4.09,-3.09,-1.85,-0.27,sit
6.84,-4.5,4.11,-3.8,-0.33,0.21,sit
6.86,-4.58,4.02,-3.91,0.01,0.83,sit
6.89,-4.56,4.14,-3.03,-0.93,-0.22,sit
6.79,-4.53,4.04,-2.47,-2.18,-0.35,sit
6.78,-4.58,4,-2.82,-1.78,-0.06,sit
6.82,-4.56,4.08,-2.84,-0.8,0.13,sit
6.88,-4.53,4.04,-2.46,-2.14,-0.22,sit
6.77,-4.56,4.07,-2.15,-1.78,0.05,sit
